EAN,GSI,nombre,distribuidor,precio,ASIN,imagen,relevancia
1,2,"daviness, filtro solar corporal - 280 gr.",Davines,18.0,B00WT4CKH6,https://m.media-amazon.com/images/I/61gG4o73GSL._SX522_.jpg,80
1,2,skeyndor essential mini productos acondicionador minu - 75 ml,Davines,9.0,B00R13JF82,https://m.media-amazon.com/images/I/61BqJCWy4bL._SX522_.jpg,81
1,2,"daviness, cuidado del pelo y del cuero cabelludo - 60 ml",Davines,11.0,B00VO6CERG,https://m.media-amazon.com/images/I/51z18aFaY+L._AC_SX569_.jpg,82
1,2,"daviness, filtro solar corporal - 150 gr.",Davines,22.0,B00OOU62GI,https://m.media-amazon.com/images/I/61BllWB2D1L._SY679_.jpg,83
1,2,authentic fórmulas nourishing oil r&c&c 140 ml,Davines,34.0,B01LEJKG36,https://m.media-amazon.com/images/I/51ipoyaJgXL._AC_SX569_.jpg,84
1,2,davines concentrado - 500 ml,Davines,17.0,B0073G6B70,https://m.media-amazon.com/images/I/81gMerN1KVL._AC_SY879_.jpg,85
1,2,davines fitnest pigments nº4 medium brown/castaño,Davines,69.0,B005CKGO7Q,https://m.media-amazon.com/images/I/51x6enww6+L._AC_SX569_.jpg,86
1,2,davines fitnest pigments nº7 blonde/rubio medio,Davines,69.0,B0087CWAJC,https://m.media-amazon.com/images/I/51D06qlltsL._AC_SX425_.jpg,87
1,2,davines elevating clay supercleanser 120g,Davines,89.0,B09LM698WG,https://m.media-amazon.com/images/I/61y1tu57KmL._AC_SX569_.jpg,88
1,2,"davines, set de regalo de pelo - 100 ml.",Davines,13.0,B01DF7WCP0,https://m.media-amazon.com/images/I/41s4R5HomqL._AC_SX569_.jpg,89
1,2,"davines sobre aftersun aftersun para el rostro y el cuerpo, novedad 2018, 150 ml",Davines,24.0,B07C54JJRX,https://m.media-amazon.com/images/I/71eITCwjI4L._AC_SY879_.jpg,90
1,2,davines nt nourishing hair building pak 60 ml*,Davines,11.0,B07D8RKS7Y,https://m.media-amazon.com/images/I/71PCmPX0+RL._AC_SX569_.jpg,91
1,2,"daviness, filtro solar corporal - 75 gr.",Davines,16.0,B015JWDUUA,https://m.media-amazon.com/images/I/71pBlYxU7sL._AC_SY879_.jpg,92
1,2,davines nt detoxifying scrub champú 100 ml,Davines,11.0,B07DRJ7KSM,https://m.media-amazon.com/images/I/513nhkTMENL._AC_SX569_.jpg,93
1,2,davines natural tech detoxifying scrub shampoo (for atonic scalp) 1000ml,Davines,60.0,B075QLWXGP,https://m.media-amazon.com/images/I/61ty+VqVwoL._AC_SX569_.jpg,94
1,2,davines nounou nourishing mascarilla para el pelo - 1000 ml,Davines,72.0,B0165H0MRC,https://m.media-amazon.com/images/I/61Cx88pHWBL._AC_SX569_.jpg,95
